i'll,-2.33417382443,-7913.5540401
mission,-2.27757471806,-38686.1250468
greet,-2.13505178269,-18834.6054264
tis,-2.11559705763,-4433.30917531
wondrous,-1.93145194905,-13215.3619042
throng,-1.92638411892,-15062.2234506
fainting,-1.82048659824,-41566.6476206
goal,-1.7824546384,-18279.3799795
anxious,-1.74320821918,-20551.4181968
i've,-1.71914756391,-6284.80753714
oft,-1.71186091728,-5076.92007858
command,-1.70741977392,-15616.0809478
loving,-1.69830846946,-9607.64030218
our,-1.6473937326,-989.001397974
john,-1.6138508202,-8360.73335049
steal,-1.61164098932,-19437.0923135
stout,-1.60986392067,-25262.3242618
until,-1.60039687466,-7061.99962826
we'll,-1.58675745752,-6160.61660831
big,-1.5807903541,-14322.7106898
drum,-1.56353938823,-19601.9361751
plan,-1.55979002769,-13918.2801404
rainbow,-1.55546087297,-16846.0884352
strand,-1.53628878061,-16004.9930956
tell,-1.52618056734,-4576.81934298
twill,-1.50666533957,-21127.2676368
purest,-1.50662013677,-22680.672786
notes,-1.4989742913,-10293.3178051
earthly,-1.49737495747,-8755.28897929
modern,-1.49581901943,-16951.3637665
sped,-1.49318706961,-17274.9684505
visit,-1.48579968625,-25756.0823118
western,-1.48429259538,-17299.4063604
spotless,-1.46979727065,-34787.6805626
page,-1.46715283203,-8055.40335384
often,-1.45276491497,-7694.1467707
husband,-1.43295882884,-10512.7433181
seldom,-1.4313494474,-23124.725255
magic,-1.42318818598,-9223.52414187
sealed,-1.42152156958,-25023.3938324
neath,-1.39975079639,-6491.11103124
rays,-1.3928855526,-11540.3702491
grand,-1.39197357958,-7420.95845171
raging,-1.38806945013,-20354.3360608
wayward,-1.38805691188,-28342.5255688
pay,-1.38352408113,-12725.0287319
stain,-1.38252163904,-17475.6738666
petals,-1.37622190352,-13697.9035181
guide,-1.37365655129,-10375.5943455
sacred,-1.37311098075,-5966.69516242
to,-1.3648040113,-400.918559872
pledge,-1.36425569353,-27357.0490559
brave,-1.35539322052,-4629.78620658
safely,-1.35244802643,-28815.6908293
complete,-1.35144965568,-15580.7351184
we,-1.34768754843,-599.295028503
sheen,-1.34570374234,-21838.6539989
appeared,-1.34491544598,-17665.2937465
firm,-1.34234056257,-14014.3211579
blight,-1.33676232414,-19325.5884114
dire,-1.3241646347,-17755.9906895
rend,-1.3231657995,-23285.5098584
kin,-1.32258472982,-20000.1431099
six,-1.31421725527,-16577.3385607
band,-1.31244778851,-7037.5113174
wandered,-1.30249728375,-13597.5622555
appear,-1.30242824717,-11969.6061164
pour,-1.29694636474,-13944.07758
true,-1.29680583186,-3342.60398516
waved,-1.29128493668,-20572.3548409
portals,-1.28437459763,-24336.8622516
an,-1.2737530727,-712.012284512
began,-1.26836497736,-10024.9960571
shock,-1.26353354507,-20740.0020018
moments,-1.26133742174,-16877.4548281
rugged,-1.25959637564,-16277.7108533
fill,-1.25548621304,-8317.77385528
saviour,-1.25403708976,-4554.01702426
lately,-1.25130630964,-26707.2828758
nation,-1.24987291448,-4947.75628105
joyful,-1.24443987579,-16373.0137748
ills,-1.24074885893,-19287.5947205
gleaming,-1.24035996795,-14010.5685383
unfurled,-1.23280051405,-23027.1107285
maidens,-1.22953826728,-14068.074115
valour,-1.22940529858,-19756.9669141
reign,-1.22639780193,-8846.43903902
thread,-1.22075667456,-16823.0432692
promised,-1.22009570485,-18769.846767
pleasures,-1.2130106862,-14608.7771896
mock,-1.20169076116,-15992.0557678
however,-1.19838820089,-12532.289161
welcome,-1.19538148374,-5782.62389522
sadness,-1.19496023205,-10878.7338575
fairy,-1.1935497885,-4078.41314447
bend,-1.19190739787,-12446.8261944
has,-1.18591311294,-1859.46120108
dews,-1.1814363056,-13828.4255175
i'd,-1.17783124326,-5545.93253713
hail,-1.17646400203,-6646.45975168
coming,-1.17640550811,-6445.1685954
form,-1.17217827235,-3483.32121061
gloomy,-1.16910276783,-11882.9713505
winning,-1.16596265073,-29306.143732
twere,-1.16521893042,-14794.5826762
wildly,-1.16060959007,-15944.7645334
struggle,-1.15989509514,-15137.7586161
clasp,-1.15661913107,-13555.4141832
little,-1.15527992116,-1165.81867864
safety,-1.15329864724,-20987.2688465
christ,-1.15230887464,-2323.68378685
garb,-1.15177039816,-27980.3476052
linger,-1.15091406476,-13206.6880061
refrain,-1.14933972453,-18470.1204517
lurid,-1.14631738551,-23369.855096
weal,-1.14359752991,-18146.9775379
friends,-1.14336845987,-4237.90455003
veins,-1.13924851427,-14382.0642681
bold,-1.13751863751,-6511.02957204
following,-1.13171342494,-13857.0357512
caress,-1.12742301705,-16410.932068
sunlight,-1.12655261689,-7971.40463539
memories,-1.12560197643,-8630.23827827
flow,-1.12005043936,-5117.84863322
lord,-1.11899642413,-1725.90291063
chains,-1.11868498414,-11251.7949494
youthful,-1.11522695826,-10091.1540202
story,-1.11513642443,-6279.05306774
fondly,-1.10848309087,-11272.1533059
wing,-1.10694976134,-6550.25028206
beguile,-1.1068946199,-23114.4927311
pours,-1.10428399934,-16740.030161
stricken,-1.10314033396,-15200.4272822
soon,-1.10206570403,-3458.19930855
view,-1.08950865912,-4833.98596464
lowly,-1.08635392026,-11548.7889157
climb,-1.08581171366,-13485.5726248
glade,-1.08073390308,-16817.9703616
over,-1.07580981878,-1015.63759883
ray,-1.07576305595,-5389.92354896
there,-1.07220719385,-1081.34640807
watchful,-1.07095391768,-24020.3648866
wand,-1.07094484381,-20003.2855075
join,-1.06993902702,-9314.65424019
longer,-1.06753251127,-8053.95274838
jesus,-1.06632176677,-2393.61760835
