nightingale,-54.6993096402,-796755.271423
seldom,-34.0525084254,-550148.604879
lea,-29.6234742439,-481542.63095
following,-27.08418263,-331626.78707
clasped,-25.3989744065,-381342.161187
rainbow,-24.0570605446,-260544.881886
grove,-23.6780633236,-216992.937489
six,-23.4326764826,-295576.252617
stout,-22.8662718063,-358822.361076
notes,-22.2802807421,-152996.626958
fainting,-21.8264855757,-498357.876184
throng,-21.314654205,-166657.356263
bend,-20.948853409,-218764.257877
modern,-20.9059377588,-236916.46598
i'll,-20.8696536713,-70754.4272828
pour,-20.6656397772,-222185.968617
drum,-20.3912892229,-255643.543672
walking,-20.3628576779,-274957.137168
husband,-20.0072968269,-146781.311366
safely,-19.8542284909,-423020.551378
mission,-19.7501123679,-335468.825982
sacred,-19.64924378,-85383.5192139
becomes,-19.5777577861,-373116.762096
goal,-19.3409596538,-198344.879619
big,-19.3057833292,-174919.557514
guards,-18.9488725417,-338720.295862
blight,-18.7712831981,-271376.658729
perished,-18.5753890011,-391192.614677
until,-18.2681204547,-80610.9171433
winning,-18.2167810097,-457873.673972
shock,-18.1295715764,-297583.987583
remains,-17.6539786938,-272210.853241
struggle,-17.5317314879,-228806.139882
thread,-17.5013368789,-241182.992253
kin,-17.0229548986,-257421.340539
greet,-17.0064707857,-150024.542515
anxious,-16.9922024225,-200328.253519
full,-16.9906355802,-54168.8854075
gloomy,-16.9799944519,-172587.725524
passage,-16.9785085333,-355165.120143
maidens,-16.977559909,-194253.060232
firm,-16.9355107485,-176810.336527
cease,-16.8579938356,-117988.27551
sway,-16.718297391,-154310.368649
an,-16.7160269047,-9344.05322311
yea,-16.7129934181,-78287.865559
garb,-16.7080247943,-405893.693992
hiding,-16.670604311,-417848.993356
rend,-16.6137051266,-292373.483851
poem,-16.5065736657,-164493.471775
woke,-16.4764614146,-237088.309058
weeds,-16.4536803487,-247448.062877
wildly,-16.3956131213,-225247.312135
sped,-16.3042985245,-188627.566064
times,-16.12495479,-102031.547573
virtue,-16.1224759659,-110783.891517
wondrous,-15.8905158791,-108725.934544
fleet,-15.7260138303,-169236.063803
longer,-15.6945751391,-118407.041698
mock,-15.5909520281,-207483.807287
met,-15.5250463828,-104130.213113
wandered,-15.5040108222,-161855.809601
earthly,-15.487882692,-90559.0733762
john,-15.4455734058,-80017.5078605
beats,-15.4015153161,-262075.056855
either,-15.3918360374,-155113.40665
strand,-15.3159115853,-159560.534627
twill,-15.3044414051,-214607.067081
received,-15.3016750828,-252468.239381
