i'll,-53.7123066587,-182100.937348
seldom,-53.3882701273,-862535.05793
pour,-49.5978287565,-533249.477993
mission,-44.9731721445,-763899.312519
goal,-43.6080819341,-447208.40726
sacred,-42.8574776448,-186232.218752
six,-40.6579382659,-512853.110941
rainbow,-40.4827709981,-438440.048341
fainting,-39.6995265252,-906447.886721
throng,-39.362555597,-307772.267308
rend,-39.0977909695,-688055.871311
stout,-37.6682137144,-591097.556131
command,-36.4881984754,-333721.484155
greet,-33.5812201431,-296240.604682
big,-33.3677595271,-302327.734245
notes,-33.2828111879,-228549.985809
drum,-32.9310666285,-412853.472763
wondrous,-32.290652646,-220938.792212
oft,-30.201350432,-89569.1004222
husband,-30.0794689146,-220674.683375
we,-29.6456915092,-13182.963335
yea,-29.2087190488,-136820.987889
struggle,-28.7479824643,-375189.119317
page,-28.5295716354,-156641.627251
dews,-26.9589975653,-315548.530285
nest,-24.3579732511,-190423.578969
olden,-23.9604472927,-369495.859389
earthly,-22.739931436,-132962.468817
began,-21.6651470066,-171238.576588
garb,-21.5925294908,-524554.617648
wandered,-21.1674153163,-220979.537649
raging,-20.9949268332,-307864.852362
scent,-20.9278062964,-252324.191604
there,-20.9125359289,-21090.788926
sealed,-20.2143685508,-355838.501605
thread,-19.6023576179,-270136.807159
weal,-19.3531685931,-307102.373484
gloomy,-17.8816794641,-181752.614584
lately,-17.2802335978,-368821.033907
tis,-17.1889552573,-36020.0695029
walking,-17.0996242709,-230894.101925
an,-16.1486750779,-9026.91053747
appeared,-15.9326883444,-209273.83994
steal,-15.844188327,-191087.812475
loving,-15.8053278331,-89413.6179671
shock,-15.7118455181,-257898.738637
remains,-15.6191902204,-240835.970779
failed,-15.6052247925,-209685.697157
utter,-15.4118207161,-212114.763401
clasp,-15.0353839801,-176212.593912
regions,-14.7511142438,-204085.922649
perished,-14.6075351368,-307630.696929
linger,-13.7927380803,-158271.059634
woke,-13.6500426276,-196417.510029
weeds,-13.4768433495,-202679.200632
pledge,-13.3382622982,-267468.55281
beats,-13.2084370332,-224757.227805
everything,-13.1667596847,-186078.728448
gained,-13.1236027001,-169109.001783
parting,-12.9934797888,-140183.832428
complete,-12.9337030453,-149111.437783
waved,-12.8852741406,-205284.228378
firm,-12.7499092406,-133111.765981
anxious,-12.5654391269,-148139.270731
longer,-12.0514101586,-90921.3414523
thus,-11.7440935381,-23132.2651411
fruit,-11.5813002277,-92182.7418444
subject,-11.5072652205,-216611.346556
glade,-11.336915069,-176420.764703
swing,-11.3226674645,-159220.826829
brave,-10.9354690408,-37353.6498198
has,-10.8514753376,-17014.6506894
hearing,-10.7242316684,-193122.479646
sped,-10.6308614685,-122990.481372
poem,-10.2954934553,-102598.001039
western,-10.214528108,-119050.161047
modern,-10.0279094828,-113641.248876
strand,-9.92627645049,-103411.538286
nought,-9.49002644949,-47315.1546621
miss,-9.23632442917,-48152.8749386
speed,-9.20359502693,-86492.4718027
fondly,-9.1170766407,-92711.4598704
valour,-8.96276700901,-144034.755227
nightingale,-8.95589122056,-130452.350993
flings,-8.7757579354,-193295.440663
saviour,-8.74227977912,-31747.4588832
pleasures,-8.72812936886,-105116.38412
revel,-8.65053997753,-189589.022856
following,-8.51788576467,-104295.526557
petals,-8.40557539856,-83662.932939
returned,-8.30126314938,-125912.817943
trod,-8.18817117741,-81801.2902668
moments,-8.0221028377,-107340.570362
wont,-7.83773526046,-120309.625022
clime,-7.78084534273,-94153.2149227
as,-7.66967544576,-4525.08959983
until,-7.42345827227,-32757.1619198
blight,-7.3953621801,-106914.83674
corner,-7.34044240786,-107904.442929
band,-7.13550771498,-38261.4963727
stole,-6.96985164374,-81788.6171816
wildly,-6.7528309492,-92772.1951814
curls,-6.66347652624,-110887.960908
led,-6.55614720722,-41288.1878721
lust,-6.54506036073,-89347.044783
stayed,-6.38521906761,-96167.3604995
twill,-6.32779588128,-88731.7399717
rugged,-6.28686015162,-81244.8286626
learned,-6.19674622092,-54717.409862
thank,-6.06290713654,-49128.1590904
nation,-6.05427719202,-23966.5070401
river,-5.87746894336,-14756.2790567
drops,-5.87282076434,-70059.5013319
rife,-5.76808202242,-106850.061277
ills,-5.70749686979,-88723.7459064
captain,-5.67043917386,-61559.778834
northern,-5.65242831601,-65164.946433
loveliness,-5.64366022022,-53923.3590232
sighed,-5.60746226416,-79008.0647385
laughter,-5.57001024865,-33231.8891468
flutter,-5.51845379053,-116769.773244
safety,-5.51765655941,-100408.113625
drunk,-5.47355582649,-90766.9638852
rolls,-5.43120709024,-85034.7065456
wing,-5.4166805496,-32052.5958242
john,-5.25834894289,-27241.4605024
dost,-5.05215626849,-24052.272431
sunlight,-5.00809459018,-35436.9142037
longed,-4.94899653751,-81036.8513365
tyrant,-4.65685486668,-39886.5286287
mothers,-4.52520050097,-74653.6097238
heed,-4.45692553191,-49813.6040304
like,-4.39857284457,-3763.21867265
lovers,-4.31388979255,-34495.6671863
kin,-4.23843906255,-64093.7294244
times,-4.11014754392,-26007.1870044
mock,-4.0910300322,-54443.2748734
whisper,-4.08464034082,-34925.4551292
cease,-4.01163047457,-28077.2057633
plaintive,-3.88561772535,-53051.4130414
fair,-3.88431715868,-6131.94232051
neath,-3.76640351443,-17466.0685772
friends,-3.75675868474,-13924.4567977
warriors,-3.62700585325,-39008.8517342
lurid,-3.53583724565,-72084.7516734
fairer,-3.40260973077,-45171.2215856
evening,-3.36384843288,-13690.3585787
wedded,-3.23904117731,-65395.9013212
cherished,-3.12925918934,-36785.6061363
startled,-3.02628731427,-37780.6235402
