our,-53.0004206776,-31818.434844
throng,-39.8395603953,-311501.924747
fainting,-34.2731794209,-782549.661833
sealed,-31.9328527409,-562121.861127
sighed,-31.5268663962,-444207.483509
raging,-30.7988007352,-451626.638978
mock,-30.7350612699,-409021.047463
until,-25.7594524418,-113667.582366
command,-24.9445484656,-228143.128007
oft,-24.7424537058,-73379.4777042
daughters,-23.5126890386,-380790.932836
stain,-22.3679016519,-282739.989965
tis,-22.0920445055,-46294.6680958
lately,-21.9802601072,-469136.149831
purest,-20.6438228282,-310772.290368
magic,-20.585823513,-133414.429675
mission,-20.582842197,-349613.297311
goal,-20.1317566602,-206454.639416
petals,-19.4152088665,-193244.750106
greet,-19.3502154039,-170700.155848
winning,-18.5955771972,-467394.609749
strand,-18.2879293613,-190522.893127
sacred,-17.5518185747,-76269.4002524
appeared,-17.448909818,-229189.216624
earthly,-17.0833096229,-99887.681255
nation,-16.7544998692,-66324.4886769
nought,-16.608685068,-82807.198369
band,-15.8229214588,-84844.5094849
sped,-15.0772984381,-174432.166028
moments,-14.2606875069,-190816.592821
has,-13.7646823017,-21582.435008
true,-13.5190973954,-34846.3800203
i'll,-12.9800015959,-44006.1245632
western,-12.6332050836,-147239.802352
pay,-12.4602151881,-114603.423559
steal,-12.3906403733,-149436.519892
saviour,-12.2994231584,-44665.1721145
seen,-11.7170610126,-46410.7470083
waved,-11.4085670468,-181757.784704
reign,-11.2553375347,-81188.7115314
bold,-10.7626057386,-61603.9526083
ills,-9.97609083694,-155079.567935
thus,-9.54053004483,-18791.9203698
drunk,-9.32582182144,-154648.378367
wondrous,-9.13683396309,-62515.9572518
anything,-5.57745658656,-105398.102942
thank,-5.21658018875,-42270.3128465
plant,-4.83063475635,-89868.4329516
anxious,-4.76108429378,-56130.4342848
brave,-4.54347684674,-15519.7223333
violets,-4.35106786812,-47329.0715978
twelve,-2.3865818649,-22049.820241
springtime,-1.94681511675,-29344.1006111
loving,-1.36988432062,-7749.68508066
startled,-1.35573723386,-16925.2264352
often,-1.29164740132,-6840.83472786
joyful,-1.1642003585,-15317.3077118
dull,-0.526787372452,-3893.83011739
appear,0.0,0.0
brooding,0.0,0.0
brows,0.0,0.0
cheer,0.0,0.0
clear,0.0,0.0
