# model_regularization_param, stain, our, daughters, until, throng, moments, oft, wondrous, greet, winning, strand, son, we'll, mock, raging, western, sighed, waved, nought, magic, ills, true, plan, saviour, mission, bold, command, conquer, band, steal, earthly, enough, brave, burns, hollow, grand, worlds, i'll, stricken, stir, pay, purest, tell, anxious, whereon, search, thick, red, finds, worn, eyes, against, tis, her, inward, him, half, black, smooth, toiled, turning, hers, whirl, goes, hid, age, trance, loving, change, brows, freed, visions, heavy, pomp, once, steeds, follows, graves, fresh, blowing, wrote, wooed, rose, countless, blew, re, whose, nature, wert, cold, round, nights, and, harsh, sign, hurrying, lest, sake, evil, what
 0.03162  0.00000 -0.00205  0.00000  0.00000 -0.02691 -0.00273 -0.00937 -0.03801 -0.03625  0.00000  0.00000  0.00000 -0.00457  0.00000 -0.01066  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000 -0.00480 -0.01336 -0.00844 -0.10448  0.00000 -0.03351  0.00000 -0.00309  0.00000 -0.00891  0.00000 -0.00191  0.00000  0.04895 -0.00674  0.00000 -0.02663  0.00000  0.02930  0.00000 -0.03003  0.00000 -0.02744  0.06175  0.00000  0.00969  0.00155  0.00000  0.00000  0.01056  0.00071 -0.00586  0.00000  0.00000  0.00000  0.01580  0.02171  0.03191  0.00000  0.00000  0.01152  0.00000  0.00416  0.00000  0.00000  0.01869 -0.00478  0.01104  0.03883  0.00000  0.00000  0.00946  0.00000  0.00042  0.00000  0.00000  0.00000  0.00836  0.00000  0.00000  0.00327  0.00323  0.00000  0.00000  0.00000  0.00000  0.00000  0.00298  0.00000  0.00000  0.01339  0.00033  0.03779  0.04349  0.09477  0.00000  0.04189  0.00608  0.00787
 0.01778  0.00000 -0.00378  0.00000  0.00000  0.00000  0.00000 -0.03195 -0.04504 -0.02600  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000 -0.01121  0.00000 -0.00467 -0.24779  0.00000  0.00000  0.00000  0.00000  0.00000 -0.00577  0.00000  0.00000  0.00000  0.16351 -0.01023  0.00000 -0.05269  0.00000  0.07326  0.00000  0.00000  0.00000 -0.04239  0.04817  0.00000  0.00000  0.00500  0.00000  0.00000  0.04856  0.00000 -0.02157  0.00000  0.00000  0.00000  0.03986  0.06589  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00002  0.00000  0.00000  0.00351  0.00000  0.03798  0.00000  0.01115
 0.01000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  1.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000  0.00000
 0.00562      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00316      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00178      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00100      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00056      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00032      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00018      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00010      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00006      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00003      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
 0.00002      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan      nan
