stain,-95.227855509,-1203721.44558
our,-91.1462421529,-54719.0141162
daughters,-88.6812691853,-1436204.21989
until,-82.8693489953,-365673.865692
throng,-69.1179101334,-540426.697167
moments,-68.8423213264,-921151.746088
oft,-64.1788494846,-190337.24427
wondrous,-64.0135590891,-437992.956829
greet,-62.041826056,-547309.120636
winning,-57.3632949356,-1441810.30608
strand,-56.6711504532,-590397.705934
we'll,-55.6060537771,-215891.58242
son,-55.3386589152,-173522.230503
mock,-52.5964491774,-699951.581239
raging,-50.4709128557,-740094.03597
waved,-48.431009818,-771587.967129
western,-48.2630083252,-562504.586895
sighed,-48.1097344304,-677856.904489
nought,-42.19529548,-210376.329537
magic,-41.4263557138,-268479.597989
ills,-38.1489165505,-593029.633804
plan,-36.5694192043,-326315.345027
true,-35.8718367485,-92462.0645007
mission,-34.137325354,-579845.230515
saviour,-33.8859404944,-123056.28849
bold,-25.7652350681,-147477.326461
command,-23.7566669983,-217278.750405
conquer,-22.4954707888,-486150.01493
steal,-21.5747301492,-260200.642901
band,-20.7753139618,-111399.86551
earthly,-15.1225740513,-88423.080184
burns,-13.0807458925,-146464.471274
enough,-12.8764799692,-92658.3004914
brave,-12.6589503974,-43240.7607273
hollow,-8.40797233445,-81318.7595102
grand,-6.9067639103,-36821.6816511
i'll,-6.59351598001,-22354.0100039
stricken,-6.07515764424,-83711.0104274
worlds,-5.72911252166,-39011.2439499
pay,-4.41767000425,-40631.7305921
stir,-4.10862189477,-37222.1557038
tell,-2.49754210511,-7489.80773388
purest,-2.45476340255,-36954.0298455
anxious,-1.35251575867,-15945.3797133
whereon,-0.43369518679,-7865.8777312
search,1.12282353477,14088.8399279
thick,3.40622168885,27249.0797389
red,9.76722291634,24217.3360763
finds,11.4126746525,158050.083634
worn,14.9218020832,132092.652284
eyes,15.5154798969,21086.9860856
against,15.7561333058,65021.8541315
tis,16.3475976638,34256.9746235
her,17.7711390622,5815.59052553
inward,22.9247872952,375445.739113
him,24.3592764871,20923.0452311
half,25.0982619461,75395.5393771
black,29.4157517144,109211.707855
smooth,30.3621571798,359960.845046
toiled,33.0892101384,865619.005086
turning,34.0815151089,407192.659215
whirl,34.3574554911,590868.469317
hers,34.4331012861,376550.418325
loving,34.687711145,196234.699161
goes,35.3177379486,188640.158491
age,35.5283885463,155476.184687
hid,35.5670961479,323042.645676
trance,36.2130198475,629791.462597
change,37.8554852257,231247.428236
freed,39.5403464301,806799.515639
brows,40.4818576548,521372.049146
visions,43.3813805662,404474.978393
heavy,48.3590349753,298355.949252
pomp,49.4461135629,469776.583073
steeds,49.5873919048,626925.683732
once,49.930606412,124240.900223
graves,50.1529843279,595192.716919
follows,50.5518288011,1014087.53972
fresh,55.3440738787,344539.506376
blowing,58.1014958373,701568.060279
wooed,59.3859567876,1301413.48187
wrote,59.5547550867,958334.381264
rose,64.1256577023,140291.922904
countless,65.2528938211,946977.176446
blew,68.4465486388,859029.277883
re,72.9540451406,294461.34705
whose,74.1041403621,108984.111
nature,76.615920992,168323.787839
wert,77.2764265475,762388.698324
round,77.441630473,188231.99036
cold,77.9966300462,231108.551978
nights,79.7647763508,706195.132094
and,79.904853097,10615.4714083
harsh,80.6869848681,1475573.20212
sign,85.0568560036,864992.156551
hurrying,90.3684629446,1695029.74569
lest,92.16603871,672293.50964
sake,96.7385995892,768539.73602
evil,106.610090288,783126.306268
what,112.274924568,116480.158842
